Topic,Stance,Argument
Euthanasia,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Mandatory vaccination in pandemic,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for mandatory vaccination in pandemic should not be accepted.""
}"
Physical appearance for personal success,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that physical appearance for personal success is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Physical appearance for personal success is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Intermittent fasting,in favor,"{
  ""character attack premise"": ""Persons who advocate for intermittent fasting are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for intermittent fasting should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Capital punishment,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that capital punishment should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Capital punishment should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Animal testing,in favor,"{
  ""character attack premise"": ""Persons who advocate for animal testing are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal testing should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Climate change,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that climate change should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Climate change should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Legalisation of cannabis,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that legalisation of cannabis is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Legalisation of cannabis can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Abortion,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that abortion is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Abortion is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Freedom of speech,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that freedom of speech is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Freedom of speech can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Tax increase,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that tax increase undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that tax increase undermines the value of human life."",
  ""conclusion"": ""Tax increase undermines the value of human life.""
}"
Animal/human cloning,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for animal/human cloning should not be accepted.""
}"
Research in artificial intelligence,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for research in artificial intelligence should not be accepted.""
}"
Nuclear energy,in favor,"{
  ""character attack premise"": ""Persons who advocate for nuclear energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for nuclear energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Use of online social networks,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that use of online social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Use of online social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Gun control,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that gun control is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Gun control can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Universal basic pension,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that universal basic pension is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Universal basic pension is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Gender quotas,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that gender quotas undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that gender quotas undermines the value of human life."",
  ""conclusion"": ""Gender quotas undermines the value of human life.""
}"
Genetic manipulation,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that genetic manipulation should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Genetic manipulation should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Reduction in working time,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Remote work,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that remote work undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that remote work undermines the value of human life."",
  ""conclusion"": ""Remote work undermines the value of human life.""
}"
Increasing security by sacrificing individual privacy,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that increasing security by sacrificing individual privacy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that increasing security by sacrificing individual privacy undermines the value of human life."",
  ""conclusion"": ""Increasing security by sacrificing individual privacy undermines the value of human life.""
}"
Cryptocurrencies,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that cryptocurrencies is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Cryptocurrencies is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Censorship in social networks,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that censorship in social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Censorship in social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Terraplanism,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for terraplanism should not be accepted.""
}"
Renewable energy,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that renewable energy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that renewable energy undermines the value of human life."",
  ""conclusion"": ""Renewable energy undermines the value of human life.""
}"
Electric transport,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that electric transport is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Electric transport can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Euthanasia,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Euthanasia should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Mandatory vaccination in pandemic,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for mandatory vaccination in pandemic should not be accepted.""
}"
Physical appearance for personal success,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that physical appearance for personal success is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Physical appearance for personal success is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Intermittent fasting,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that intermittent fasting is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Intermittent fasting is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Capital punishment,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for capital punishment should not be accepted.""
}"
Animal testing,in favor,"{
  ""character attack premise"": ""Persons who advocate for animal testing are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal testing should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Climate change,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that climate change is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Climate change is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Legalisation of cannabis,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for legalisation of cannabis should not be accepted.""
}"
Abortion,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for abortion should not be accepted.""
}"
Freedom of speech,in favor,"{
  ""character attack premise"": ""Persons who advocate for freedom of speech are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for freedom of speech should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Tax increase,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that tax increase is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Tax increase is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Animal/human cloning,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that animal/human cloning is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Animal/human cloning is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Research in artificial intelligence,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that research in artificial intelligence is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Research in artificial intelligence is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Nuclear energy,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that nuclear energy is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Nuclear energy can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Use of online social networks,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that use of online social networks undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that use of online social networks undermines the value of human life."",
  ""conclusion"": ""Use of online social networks undermines the value of human life.""
}"
Gun control,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that gun control should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Gun control should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Universal basic pension,in favor,"{
  ""character attack premise"": ""Persons who advocate for universal basic pension are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for universal basic pension should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Gender quotas,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that gender quotas is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Gender quotas can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Genetic manipulation,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for genetic manipulation should not be accepted.""
}"
Reduction in working time,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for reduction in working time should not be accepted.""
}"
Remote work,in favor,"{
  ""character attack premise"": ""Persons who advocate for remote work are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for remote work should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Increasing security by sacrificing individual privacy,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that increasing security by sacrificing individual privacy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Increasing security by sacrificing individual privacy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Cryptocurrencies,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that cryptocurrencies should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Cryptocurrencies should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Censorship in social networks,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that censorship in social networks should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Censorship in social networks should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Terraplanism,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that terraplanism should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Terraplanism should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Renewable energy,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that renewable energy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Renewable energy should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Electric transport,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that electric transport is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Electric transport can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Euthanasia,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that euthanasia is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Euthanasia can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Mandatory vaccination in pandemic,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that mandatory vaccination in pandemic is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Mandatory vaccination in pandemic is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Physical appearance for personal success,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that physical appearance for personal success should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Physical appearance for personal success should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Intermittent fasting,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that intermittent fasting is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Intermittent fasting is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Capital punishment,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that capital punishment is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Capital punishment can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Animal testing,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that animal testing should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Animal testing should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Climate change,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that climate change undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that climate change undermines the value of human life."",
  ""conclusion"": ""Climate change undermines the value of human life.""
}"
Legalisation of cannabis,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that legalisation of cannabis undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that legalisation of cannabis undermines the value of human life."",
  ""conclusion"": ""Legalisation of cannabis undermines the value of human life.""
}"
Abortion,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that abortion is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Abortion is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Freedom of speech,in favor,"{
  ""character attack premise"": ""Persons who advocate for freedom of speech are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for freedom of speech should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Tax increase,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Tax increase should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Animal/human cloning,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that animal/human cloning is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Animal/human cloning is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Research in artificial intelligence,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Research in artificial intelligence should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Nuclear energy,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that nuclear energy is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Nuclear energy can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Use of online social networks,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that use of online social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Use of online social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Gun control,in favor,"{
  ""character attack premise"": ""Persons who advocate for gun control are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for gun control should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Universal basic pension,in favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that universal basic pension should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Universal basic pension should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Gender quotas,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that gender quotas is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Gender quotas is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Genetic manipulation,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that genetic manipulation undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that genetic manipulation undermines the value of human life."",
  ""conclusion"": ""Genetic manipulation undermines the value of human life.""
}"
Reduction in working time,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for reduction in working time should not be accepted.""
}"
Remote work,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that remote work undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that remote work undermines the value of human life."",
  ""conclusion"": ""Remote work undermines the value of human life.""
}"
Increasing security by sacrificing individual privacy,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that increasing security by sacrificing individual privacy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Increasing security by sacrificing individual privacy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Cryptocurrencies,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that cryptocurrencies is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Cryptocurrencies is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Censorship in social networks,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that censorship in social networks is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Censorship in social networks is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Terraplanism,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for terraplanism should not be accepted.""
}"
Renewable energy,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that renewable energy is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Renewable energy is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Electric transport,in favor,"{
  ""character attack premise"": ""Persons who advocate for electric transport are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for electric transport should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Euthanasia,against,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for euthanasia should not be accepted.""
}"
Mandatory vaccination in pandemic,against,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that mandatory vaccination in pandemic undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that mandatory vaccination in pandemic undermines the value of human life."",
  ""conclusion"": ""Mandatory vaccination in pandemic undermines the value of human life.""
}"
Physical appearance for personal success,against,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that physical appearance for personal success is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Physical appearance for personal success is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Intermittent fasting,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that intermittent fasting is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Intermittent fasting can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Capital punishment,in favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that capital punishment is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Capital punishment can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Animal testing,in favor,"{
  ""character attack premise"": ""Persons who advocate for animal testing are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for animal testing should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
